id,hip,hd,hr,gl,bf,proper,ra,deg,dec,dist,pmra,pmdec,rv,mag,opacity,linear,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
14843,14879,20010,963,Gl 127A,Alp For,,3.201249,48.018735,-28.987618,14.2369,371.49,612.26,-20,3.8,0.857269668,1.427303323,3.033,F8V,0.543,8.329775,9.25728,-6.899408,-0.00001733,0.00001907,0.00004687,0.838085047,-0.505929377,1.80103E-06,2.96832E-06,Alp,,For,1,14843,Gl 127,5.330893422,,,
59020,59199,105452,4623,Gl 455.3,1Alp Crv,,12.140225,182.103375,-24.728875,14.9365,100.18,-39.33,2.9,4.02,0.855314203,1.446857968,3.149,F0IV/V,0.334,-13.557668,-0.497944,-6.248321,-0.00000124,-0.0000073,-0.00000383,3.178303548,-0.431600297,4.85686E-07,-1.90677E-07,Alp,1,Crv,1,59020,,4.7907113,,,
118838,,110380,4826,Gl 482B,29Gam Vir,,12.694171,190.412565,-1.449235,11.8301,-559.96,6.84,-19.6,3.52,0.855212333,1.447876671,3.155,F0 V,,-11.630574,-2.137246,-0.299172,0.00001389,0.00003521,0.0000009,3.323326236,-0.025293924,-2.71476E-06,3.31661E-08,Gam,29,Vir,2,61748,Gl 482,4.764309868,,,
70274,70497,126660,5404,Gl 549A,23The Boo,,14.419967,216.299505,51.850744,14.5307,-236.06,-399.07,-11.4,4.04,0.85395002,1.460499804,3.229,F7V,0.497,-7.233871,-5.313642,11.426925,-0.00002186,0.00000458,-0.00002653,3.775138559,0.904966194,-1.14445E-06,-1.93475E-06,The,23,Boo,1,70274,Gl 549,4.450409766,,,
102154,102485,197692,7936,Gl 805,16Psi Cap,,20.76826,311.5239,-25.270898,14.6778,-51.38,-156.66,25.8,4.13,0.852780355,1.472196446,3.297,F5V,0.426,8.799322,-9.937473,-6.266031,0.00000993,-0.00001673,-0.00002134,5.437117756,-0.441060367,-2.49097E-07,-7.59509E-07,Psi,16,Cap,1,102154,,4.18022829,,,
57584,57757,102870,4540,Gl 449,5Bet Vir,,11.844922,177.67383,1.764718,10.929,740.96,-271.18,4.3,3.59,0.851043223,1.489567774,3.397,F8V,0.518,-10.914853,0.443379,0.336562,-0.00000643,-0.00003903,-0.00001423,3.100993262,0.030800138,3.59228E-06,-1.31472E-06,Bet,5,Vir,1,57584,,3.812413511,,,
108830,109176,210027,8430,Gl 848,24Iot Peg,,22.116847,331.752705,25.345112,11.7261,296.73,26.93,-5.5,3.77,0.850570693,1.494293075,3.424,F5V,0.435,9.335368,-5.015491,5.019565,0.00000293,0.00001757,-0.00000102,5.790176883,0.442355645,1.43859E-06,1.3056E-07,Iot,24,Peg,1,108830,,3.718775833,,,
116405,116771,222368,8969,Gl 904,17Iot Psc,,23.665844,354.98766,5.626292,13.7137,376.32,-437,5.5,4.13,0.850219704,1.49780296,3.444,F7V,0.507,13.595494,-1.192399,1.34449,0.0000106,0.00002418,-0.00002836,6.195703568,0.098197312,1.82445E-06,-2.11864E-06,Iot,17,Psc,1,116405,,3.650900525,,,
7499,7513,9826,458,Gl 61,50Ups And,,1.613299,24.199485,41.405459,13.4916,-172.57,-381.01,-28.7,4.1,0.850114247,1.498857532,3.45,F8V,0.536,9.229933,4.147969,8.92295,-0.00000042,-0.00001256,-0.0000381,0.422360683,0.722661584,-8.36643E-07,-1.84719E-06,Ups,50,And,1,7499,,3.630780548,,,
2016,2021,2151,98,Gl 19,Bet Hyi,,0.427916,6.41874,-77.254247,7.4588,2220.12,324.37,22.9,2.82,0.84999112,1.500088804,3.457,G2IV,0.618,1.635267,0.184517,-7.275205,0.00000754,0.00008163,-0.00002026,0.11202811,-1.348340964,1.07634E-05,1.57259E-06,Bet,,Hyi,1,2016,,3.607447339,,,
16811,16852,22484,1101,Gl 147,10    Tau,,3.614551,54.218265,0.401662,13.9626,-232.69,-482,27.9,4.29,0.848078572,1.519214277,3.565,F9V,0.575,8.163865,11.327087,0.097883,0.00002959,0.00001413,-0.00003242,0.946287207,0.007010317,-1.12811E-06,-2.3368E-06,,10,Tau,1,16811,,3.265878322,,,
77836,78072,142860,5933,Gl 603,41Gam Ser,,15.940882,239.11323,15.661617,11.2537,311.2,-1282.17,6.6,3.85,0.847560878,1.524391221,3.594,F6V,0.478,-5.56255,-9.299226,3.038014,0.00000154,-0.0000305,-0.00006553,4.173313184,0.27334678,1.50874E-06,-6.21614E-06,Gam,41,Ser,1,77836,,3.179801428,,,
22396,22449,30652,1543,Gl 178,1Pi 3Ori,,4.830669,72.460035,6.961276,8.0684,463.44,11.62,24.4,3.19,0.846448158,1.535518421,3.656,F6V,0.484,2.413721,7.63677,0.977904,-0.00000983,0.00002903,0.00000348,1.264666197,0.12149718,2.24682E-06,5.63353E-08,Pi-3,1,Ori,1,22396,,3.003308879,,,
12810,12843,17206,818,Gl 111,1Tau1Eri,,2.751715,41.275725,-18.572563,14.2207,330.93,36.28,25.6,4.47,0.845563007,1.544369931,3.705,F5/F6V,0.481,10.131041,8.892749,-4.529443,0.0000042,0.00003404,-0.00000597,0.720397335,-0.324152367,1.60439E-06,1.7589E-07,Tau-1,1,Eri,1,12810,,2.870780582,,,
17336,17378,23249,1136,Gl 150,23Del Eri,,3.720806,55.81209,-9.763395,9.0408,-91.71,742.23,-5.1,3.52,0.844945824,1.550541763,3.739,K0IV,0.915,5.006502,7.370189,-1.533131,0.00000354,-0.00000195,0.00003294,0.974104802,-0.170403382,-4.44623E-07,3.59843E-06,Del,23,Eri,1,17336,,2.782274658,Del,3.531,3.511
86705,86974,161797,6623,Gl 695A,86Mu  Her,,17.774319,266.614785,27.720676,8.3105,-291.42,-750,-16.7,3.42,0.843428791,1.565712093,3.822,G5IV,0.75,-0.434406,-7.3437,3.865655,-0.00001166,0.00000175,-0.00003469,4.653305864,0.48381707,-1.41284E-06,-3.6361E-06,Mu,86,Her,1,86705,Gl 695,2.57750787,,,
27006,27072,38393,1983,Gl 216A,13Gam Lep,,5.741057,86.115855,-22.448382,8.927,-292.42,-368.45,-9.7,3.59,0.843171447,1.568285533,3.836,F7V,0.481,0.558889,8.231515,-3.40875,0.00001159,-0.00001608,-0.00001095,1.503005147,-0.39179818,-1.41769E-06,-1.7863E-06,Gam,13,Lep,1,27006,Gl 216,2.544485615,,,
12744,12777,16895,799,Gl 107A,13The Per,,2.736634,41.04951,49.228448,11.1272,334.03,-89.96,24.4,4.1,0.842581642,1.574183577,3.868,F7V,0.514,5.480091,4.772164,8.42701,0.00000323,0.0000267,0.00001573,0.716449135,0.859198497,1.61942E-06,-4.36138E-07,The,13,Per,1,12744,Gl 107,2.470586136,,,
14596,14632,19373,937,Gl 124,Iot Per,,3.151005,47.265075,49.613278,10.5407,1262.29,-91.53,49.5,4.05,0.841320933,1.586790674,3.936,G0V,0.595,4.634786,5.016825,8.029067,-0.0000227,0.00007048,0.00003553,0.824931293,0.865915046,6.11975E-06,-4.4375E-07,Iot,,Per,1,14596,,2.320598462,,,
82607,82860,153597,6315,Gl 648,19    Dra,,16.93375,254.00625,65.134796,15.2579,238.05,50.84,-20.9,4.88,0.840817561,1.591824392,3.963,F6Vvar,0.481,-1.767632,-6.167324,13.843316,0.00002034,0.00000707,-0.00001781,4.43324526,1.13681664,1.1541E-06,2.46479E-07,,19,Dra,1,82607,,2.26360164,,,
77022,77257,141004,5868,Gl 598,27Lam Ser,,15.77406,236.6109,7.353073,12.1242,-225.51,-68.52,-68.5,4.42,0.840087648,1.599123521,4.002,G0Vvar,0.604,-6.61701,-10.039373,1.551618,0.00002689,0.00006488,-0.00001296,4.129639126,0.128335336,-1.0933E-06,-3.32194E-07,Lam,27,Ser,1,77022,,2.183735328,,,
89660,89937,170153,6927,Gl 713A,44Chi Dra,,18.350736,275.26104,72.732843,8.0574,531.08,-351.59,32,3.55,0.839768434,1.602315659,4.019,F7Vvar,0.489,0.219434,-2.381656,7.694536,0.00002275,-0.00002083,0.00002718,4.804211383,1.269427584,2.57475E-06,-1.70456E-06,Chi,44,Dra,1,89660,Gl 713,2.14980961,,,
47457,47592,84117,3862,Gl 364,,,9.704011,145.560165,-23.915569,15.0128,-399.23,263.18,35.2,4.93,0.839222422,1.607775782,4.048,G0V,0.534,-11.318572,7.76158,-6.086167,-0.00001711,0.00004696,0.00000291,2.540504065,-0.417405421,-1.93552E-06,1.27593E-06,,,Hya,1,47457,,2.093148303,,,
5849,5862,7570,370,Gl 55,Nu  Phe,,1.253043,18.795645,-45.531664,15.1149,664.47,178.12,11.6,4.97,0.838750228,1.612497717,4.073,F8V,0.571,10.023612,3.411601,-10.786636,0.000001,0.00005177,0.00000068,0.328045926,-0.794677454,3.22144E-06,8.6355E-07,Nu,,Phe,1,5849,,2.045502431,,,
24753,24813,34411,1729,Gl 197,15Lam Aur,,5.318995,79.784925,40.099051,12.631,519.39,-664.79,66.5,4.69,0.836656047,1.633439531,4.183,G0V,0.63,1.713487,9.509166,8.136149,-0.00001742,0.00008264,0.00001267,1.392509585,0.699860475,2.51807E-06,-3.22299E-06,Lam,15,Aur,1,24753,,1.848417195,,,
25215,25278,35296,1780,Gl 202,111    Tau,,5.407071,81.106065,17.383534,14.3864,250.4,-7.42,38.1,5,0.836137877,1.638621231,4.21,F8V SB,0.544,2.122676,13.564563,4.298277,-0.00001148,0.00003959,0.00001115,1.415567931,0.303399903,1.21397E-06,-3.59732E-08,,111,Tau,1,25215,,1.803017741,V1119,5.026,4.986
118742,55203,98231,4375,Gl 423A,53Xi  UMa,,11.303118,169.54677,31.528783,10.4167,-425.24,-581.01,-15.9,4.33,0.835540914,1.644590865,4.241,G0 Ve,0.59,-8.73089,1.610966,5.446747,0.00000243,0.00002139,-0.00003351,2.959149416,0.550281064,-2.06162E-06,-2.81682E-06,Xi,53,UMa,1,118742,Gl 423,1.752265862,,,
95152,95447,182572,7373,Gl 759,31    Aql,,19.416164,291.24246,11.944415,15.1768,721.27,643.6,-100.6,5.17,0.8350966,1.649033997,4.264,G8IVvar,0.761,5.379424,-13.838527,3.140845,0.00000944,0.00012218,0.00002504,5.083139887,0.208469377,3.49682E-06,3.12026E-06,,31,Aql,1,95152,,1.715536648,,,
51312,51459,90839,4112,Gl 395,36    UMa,,10.510461,157.656915,55.980536,12.7796,-177.02,-33.45,8.6,4.82,0.834651087,1.653489133,4.287,F8V,0.541,-6.613102,2.718087,10.592404,-0.00000197,0.00001267,0.00000613,2.751632358,0.977044674,-8.58217E-07,-1.6217E-07,,36,UMa,1,51312,,1.679577314,,,
53565,53721,95128,4277,Gl 407,47    UMa,,10.99112,164.8668,40.430257,14.0627,-315.92,55.15,11.6,5.03,0.834592888,1.654071124,4.29,G0V,0.624,-10.333319,2.794615,9.120037,-0.00000074,0.00002251,0.00001056,2.877468446,0.705641099,-1.53162E-06,2.67375E-07,,47,UMa,1,53565,,1.674942876,,,
92725,93017,176051,7162,Gl 738A,,,18.950441,284.256615,32.901273,14.8721,202.85,-143.97,-45.8,5.2,0.833658911,1.663410894,4.338,G0V,0.594,3.074982,-12.101832,8.0782,0.00000588,0.00003625,-0.00003416,4.961213864,0.574235551,9.83445E-07,-6.97986E-07,,,Lyr,1,92725,Gl 738,1.602507239,,,
73467,73695,133640,5618,Gl 575A,44    Boo,,15.063174,225.94761,47.65406,12.5078,-436.24,18.94,-29.7,4.83,0.833541793,1.664582067,4.344,G2V + G2V,0.647,-5.858189,-6.055134,9.244209,-0.00000419,0.00003371,-0.00002168,3.943529793,0.831720249,-2.11495E-06,9.18237E-08,,44,Boo,1,73467,Gl 575,1.593675881,I,4.943,4.793
105519,105858,203608,8181,Gl 827,Gam Pav,,21.440705,321.610575,-65.366198,9.2618,81.08,800.68,-29.4,4.21,0.832896172,1.671038276,4.377,F6V,0.494,3.025799,-2.397286,-8.418648,0.00001805,-0.00000966,0.00004232,5.613163538,-1.140855378,3.93087E-07,3.88181E-06,Gam,,Pav,1,105519,,1.545966219,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,219.911475,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,0.832856964,1.671430365,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.838179212,-1.061753176,-1.78324E-05,2.33603E-06,Alp-1,,Cen,1,71456,Gl 559,1.543121066,,0.113,-0.087
23638,23693,33262,1674,Gl 189,Zet Dor,,5.091853,76.377795,-57.472704,11.6455,-31.87,117.42,-2.4,4.71,0.832856964,1.671430365,4.379,F7V,0.526,1.474776,6.085643,-9.818715,0.00000275,0.00000373,0.00000563,1.333044066,-1.003087911,-1.5451E-07,5.69268E-07,Zet,,Dor,1,23638,,1.543121066,,,
118869,,114379,4969,Gl 501B,42Alp Com,,13.166389,197.495835,17.528977,14.3246,-425.99,145.02,-27.7,5.17,0.83264115,1.6735885,4.39,F5 V,,-13.026264,-4.106054,4.313973,0.00001976,0.00003725,0.00000107,3.446952643,0.30593836,-2.06526E-06,7.03072E-07,Alp,42,Com,2,64037,Gl 501,1.527566058,,,
64189,64394,114710,4983,Gl 502,43Bet Com,,13.197904,197.96856,27.878183,9.1291,-801.94,882.7,5.1,4.23,0.831893466,1.681065341,4.428,G0V,0.572,-7.676072,-2.489414,4.268726,0.00000204,0.00003797,0.00003697,3.455203216,0.486566084,-3.88791E-06,4.27945E-06,Bet,43,Com,1,64189,,1.475027102,,,
7903,7918,10307,483,Gl 67,,,1.696383,25.445745,42.613369,12.7389,791.35,-180.16,3.1,4.96,0.831775106,1.682248944,4.434,G2V,0.618,8.465575,4.02816,8.624862,-0.00001209,0.00004837,-0.00000604,0.444111922,0.743743593,3.83657E-06,-8.7344E-07,,,And,1,7903,,1.466898282,,,
37745,37853,63077,3018,Gl 288A,,,7.759736,116.39604,-34.172363,15.2091,-220.83,1722.89,102.6,5.36,0.83147884,1.6852116,4.449,G0V,0.589,-5.594502,11.272064,-8.543229,-0.00005573,0.00014892,0.00004615,2.031494094,-0.596420252,-1.07061E-06,8.35281E-06,,,Pup,1,37745,Gl 288,1.446771683,,,
85773,86036,160269,6573,Gl 684A,26    Dra,,17.58317,263.74755,61.874554,14.1904,277.38,-525.62,-16.3,5.23,0.831063191,1.689368085,4.47,G0V,0.602,-0.728444,-6.649556,12.514635,0.00001635,-0.00002597,-0.00003175,4.603263177,1.079914688,1.34478E-06,-2.54828E-06,,26,Dra,1,85773,Gl 684,1.419057522,,,
80442,80686,147584,6098,Gl 624,Zet TrA,,16.474422,247.11633,-70.084401,12.1168,199.89,110.77,7.6,4.9,0.830805372,1.691946284,4.483,F9V,0.555,-1.604938,-3.802618,-11.392224,0.00000741,-0.00001264,-0.00000509,4.312993489,-1.223203548,9.69094E-07,5.37028E-07,Zet,,TrA,1,80442,,1.402167834,,,
48941,49081,86728,3951,Gl 376,20    LMi,,10.016864,150.25296,31.923672,15.0466,-529.22,-428.93,55.8,5.37,0.830805372,1.691946284,4.483,G1V,0.676,-11.088308,6.336788,7.956742,-0.00003727,0.00006576,0.00000362,2.622408945,0.557173185,-2.56573E-06,-2.07951E-06,,20,LMi,1,48941,,1.402167834,,,
1595,1599,1581,77,Gl 17,Zet Tuc,,0.334142,5.01213,-64.874791,8.5866,1707.56,1165.36,9,4.23,0.829250169,1.707498313,4.561,F9V,0.576,3.631914,0.318885,-7.774227,0.00004144,0.00007498,0.00001226,0.087478102,-1.132278698,8.27848E-06,5.64982E-06,Zet,,Tuc,1,1595,,1.304968414,,,
3814,3821,4614,219,Gl 34A,24Eta Cas,,0.81826,12.2739,57.815187,5.9531,1087.11,-559.65,8.2,3.46,0.828748687,1.712513126,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.214219876,1.009065377,5.27046E-06,-2.71326E-06,Eta,24,Cas,1,3814,Gl  34,1.275263706,Eta,3.507,3.457
84604,84862,157214,6458,Gl 672,72    Her,,17.34432,260.1648,32.467743,14.3266,135.4,-1040.55,-79.1,5.38,0.828487335,1.715126647,4.599,G0V,0.619,-2.064569,-11.909033,7.690492,0.0000143,0.00002741,-0.0001044,4.540732389,0.566669021,6.56438E-07,-5.04473E-06,,72,Her,1,84604,,1.260085459,,,
61124,61317,109358,4785,Gl 475,8Bet CVn,,12.562411,188.436165,41.35748,8.4395,-705.06,292.93,6.6,4.24,0.828306166,1.716938344,4.608,G0V,0.588,-6.266213,-0.929293,5.576481,-0.00000141,0.00002895,0.00001346,3.288831624,0.721824191,-3.41823E-06,1.42016E-06,Bet,8,CVn,1,61124,,1.249683397,,,
98924,99240,190248,7665,Gl 780,Del Pav,,20.145157,302.177355,-66.182068,6.1084,1210.29,-1130.34,-21.7,3.55,0.828064308,1.719356917,4.62,G5IV-Vvar,0.751,1.313772,-2.087713,-5.587991,0.00000926,0.00005259,0.00000678,5.273989829,-1.155094997,5.86765E-06,-5.48004E-06,Del,,Pav,1,98924,,1.235947433,,,
109763,110109,211415,8501,Gl 853A,,,22.304289,334.564335,-53.627073,13.7855,439.86,-632.6,-13.5,5.36,0.827194852,1.72805148,4.663,G1V,0.614,7.382862,-3.511159,-11.09963,-0.00002551,0.00004468,-0.00001396,5.839249105,-0.935969,2.1325E-06,-3.06693E-06,,,Gru,1,109763,Gl 853,1.187955028,,,
10620,10644,13974,660,Gl 92,8Del Tri,,2.284191,34.262865,34.224231,10.784,1151.61,-246.32,-6.6,4.84,0.826931129,1.730688715,4.676,G0V,0.607,7.36921,5.020051,6.065246,-0.00003252,0.00005069,-0.00001444,0.597999934,0.597325517,5.58316E-06,-1.19419E-06,Del,8,Tri,1,10620,,1.173815932,,,
27844,27913,39587,2047,Gl 222A,54Chi1Ori,,5.906386,88.59579,20.276174,8.6633,-163.17,-98.92,-13.4,4.39,0.826402474,1.735975264,4.702,G0V,0.594,0.199145,8.12391,3.002187,0.00000657,-0.00001158,-0.00000865,1.546288174,0.353886005,-7.9107E-07,-4.79578E-07,Chi-1,54,Ori,1,27844,Gl 222,1.146040591,Chi-1,4.409,4.379
118743,,98230,4374,Gl 423B,53Xi  UMa,,11.303118,169.54677,31.528783,10.4167,-425.24,-581.01,-13.6,4.8,0.826219102,1.737808983,4.711,G0 Ve,,-8.730989,1.610983,5.446808,0.00000046,0.00002175,-0.00003228,2.959149416,0.550281064,-2.06162E-06,-2.81682E-06,Xi,53,UMa,2,118742,Gl 423,1.136579975,,,
